,energy_source_name,company_name,city,tso_region,latitude,longitude,asset_count,total_generation_capacity_mw
49,Wind,Windfarm Nordisch GmbH ＆ Co. Holtriemer Hammrich I,Westerholt,TenneT,53.61118975,7.43909675,4,6
50,Wind,Utere Ventos Wiesmoor XI GmbH ＆ Co. KG,Wiesmoor,TenneT,53.38781333333333,7.80453,3,6
51,Wind,Windfarm Sögel VI GmbH ＆ Co. KG,Sögel,TenneT,52.80276233333333,7.528760333333333,3,6
52,Wind,Utere Ventos Wiesmoor XII GmbH ＆ Co. KG,Wiesmoor,TenneT,53.38576,7.78551,2,6
53,Wind,Windfarm Nordisch GmbH ＆ Co. KG Holtriemer Hammrich IX,Utarp,TenneT,53.618622,7.4911125,2,6
54,Wind,Windfarm Nordisch GmbH ＆ Co. KG Ochtersum II,Ochtersum,TenneT,53.6211445,7.5204,2,6
55,Wind,Windfarm Nordisch GmbH ＆ Co. KG Ochtersum III,Ochtersum,TenneT,53.6195955,7.5176275,2,6
56,Wind,electricville Windfarm Portfolio GmbH ＆ Co. KG,Hirschfelde,50Hertz,50.9559095,14.8470515,2,6
57,Solar,electricville AG,Erwitte,Amprion,51.628791500000005,8.337315499999999,2,5.625
58,Wind,electricville Windfarm Barnstorf GmbH ＆ Co. KG,Drentwede,TenneT,52.7428445,8.5068635,2,5.6
59,Wind,electricville Windfarm Portfolio GmbH ＆ Co. KG,Crivitz,50Hertz,53.54525155555555,11.798304555555555,9,5.3999999999999995
60,Biomass,Lancepower GmbH,Malchin,50Hertz,53.75,12.773,4,4.958
61,Wind,WKA Aasbruch II GmbH ＆ Co. KG,Drentwede,TenneT,52.7454405,8.530750999999999,2,4.7
62,Wind,Windfarm Sögel II GmbH ＆ Co. KG,Sögel,TenneT,52.8143515,7.554907,2,4.65
63,Wind,Freesen-Breeze VII GmbH ＆ Co. KG,Norden,TenneT,53.6264655,7.235312,2,4.6
64,Wind,Windfarm Holtriemer Land I GmbH ＆ Co. KG,Utarp,TenneT,53.6207015,7.471946,2,4.6
65,Biomass,Lancepower GmbH,Sulzbach-Rosenberg,TenneT,49.486535,11.773324,1,4.54
66,Wind,Windfarm Nordisch GmbH ＆ Co. Holtriemer Hammrich I,Großheide,TenneT,53.616385666666666,7.421246666666666,3,4.5
67,Wind,electricville Windfarm Portfolio GmbH ＆ Co. KG,Tarnow,50Hertz,53.769481000000006,12.018828666666666,3,4.5
68,Wind,Windfarm Nordisch GmbH ＆ Co. KG Blomberg/Neuschoo III,Neuschoo,TenneT,53.557382,7.525335,1,4.26
69,Biomass,Lancepower Biomasse GmbH,Bad Köstritz,50Hertz,50.9309576,12.036299,5,4.237
70,Wind,WKA Sögel Süd II GmbH ＆ Co. KG,Sögel,TenneT,52.80891,7.504337,1,4.2
71,Wind,Freesen-Breeze III GmbH ＆ Co. KG,Lütetsburg,TenneT,53.615208,7.23521,2,4
72,Wind,Utere Ventos Wiesmoor X GmbH ＆ Co. KG,Wiesmoor,TenneT,53.38546,7.80552,2,4
73,Wind,Windfarm Dalena GmbH ＆ Co. KG,Wettin-Löbejün,50Hertz,51.6478205,11.8574505,2,4
74,Wind,"Windfarm Nordisch GmbH ＆ Co. KG, Holtriemer Hammrich VII",Schweindorf,TenneT,53.6237915,7.463248500000001,2,4
75,Wind,Windfarm Sögel IV GmbH ＆ Co. KG,Sögel,TenneT,52.816244,7.5341995,2,4
76,Wind,Windfarm Sögel V GmbH ＆ Co. KG,Hüven,TenneT,52.78889,7.593106,2,4
77,Wind,electricville Windfarm Klettwitz GmbH ＆ Co. KG,Klettwitz,50Hertz,51.5242425,13.8718945,2,4
78,Solar,electricville Solarfarm Bemerode GmbH ＆ Co. KG,Hannover,TenneT,52.328344,9.819481,1,4
79,Wind,electricville Windfarm Beuren GmbH,Kliding,Amprion,50.113473,7.079162,1,3.45
80,Wind,electricville Windfarm Beuren GmbH,Urschmitt,Amprion,50.115576,7.084995,1,3.45
81,Biomass,Lancepower GmbH,Langenwetzendorf,50Hertz,50.68930966666667,12.113784,3,3.35
82,Wind,electricville Windfarm Portfolio GmbH ＆ Co. KG,Käbschütztal,50Hertz,51.0999535,13.365386,2,3.3
83,Wind,WKA Aasbruch I GmbH ＆ Co. KG,Barnstorf,TenneT,52.746936,8.535081,1,3.3
84,Wind,WKA Aasbruch I GmbH ＆ Co. KG,Drentwede,TenneT,52.74173,8.534878,1,3.3
85,Biomass,Lancepower GmbH,Bernsdorf,50Hertz,51.36307933333333,14.055886,3,3.22
