,month,generation_mwh_2024,generation_mwh_2025,yoy_growth_mwh,installed_capacity_mw_2024,installed_capacity_mw_2025,yoy_diff_installed_capacity_mw,avg_wind_power_density_w_per_m2_2024,avg_wind_power_density_w_per_m2_2025,yoy_diff_avg_wind_power_density_w_per_m2
0,1,170019.32023684858,150988.23970612307,-19031.080530725507,694.4750000000003,786.0250000000003,91.55000000000007,725.3774879581753,490.8609239774911,-234.51656398068417
1,2,150312.35493862204,82980.8320013492,-67331.52293727284,707.9750000000003,790.2250000000003,82.25,552.4092647264652,254.51867730782445,-297.89058741864073
2,3,103302.30054284884,76562.78320735638,-26739.517335492463,712.4750000000003,805.6050000000006,93.13000000000034,269.1860724693735,213.7755203902497,-55.41055207912382
3,4,104732.83820347907,66313.98797645944,-38418.85022701963,725.9750000000003,811.1650000000006,85.1900000000004,316.79698993670394,141.6209689415727,-175.17602099513124
4,5,73367.1992298493,92763.54041571997,19396.341185870668,730.4750000000004,811.1650000000006,80.69000000000028,183.56100688593722,221.22976378365362,37.668756897716406
5,6,65189.38300662522,103741.93850784318,38552.55550121796,739.4750000000003,816.7250000000008,77.25000000000057,179.99461807752817,252.76084146505642,72.76622338752824
6,7,65250.63950708106,76142.6419888468,10892.002481765732,763.6250000000002,827.845000000001,64.22000000000082,196.3334732243926,164.37006144200802,-31.963411782384583
7,8,62813.78327075574,66760.42258599849,3946.639315242748,763.6250000000002,827.845000000001,64.22000000000082,182.99411734795112,156.8749278984054,-26.11918944954573
8,9,104658.10653284365,116331.70525865241,11673.598725808755,763.6250000000002,827.845000000001,64.22000000000082,296.1685478548705,329.6580762176776,33.48952836280711
9,10,101048.19518666543,165885.85642795026,64837.66124128483,763.6250000000002,827.845000000001,64.22000000000082,265.6646061179051,513.9537334521572,248.28912733425204
10,11,120706.26564437209,121259.03836354952,552.772719177432,763.6250000000002,838.8450000000012,75.22000000000094,387.2497860901858,335.930970933895,-51.31881515629078
11,12,152657.91344943384,146848.727190823,-5809.186258610833,786.0250000000003,838.8450000000012,52.820000000000846,511.226907543898,385.3407239560675,-125.88618358783049
